,ID,PPO_1_consumption,PPO_1_labor,PPO_1_savings,PPO_2_consumption,PPO_2_labor,PPO_2_savings,PPO_3_consumption,PPO_3_labor,PPO_3_savings
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.5301685929298401,1.0,0.4698314070701599,0.0,1.0,1.0,0.0,0.0,0.0
2,0,0.6230911612510681,1.0,0.8514860272407532,1.0,0.0,1.0202020406723022,0.0,0.0,0.0
3,0,0.6288073658943176,0.0,0.23127952218055725,1.0,0.0,1.061014175415039,0.0,0.0,0.0
4,0,0.5606063008308411,1.0,0.6730093955993652,1.0,0.0,1.1434630155563354,0.0,0.0,0.0
5,0,0.6389319896697998,0.0,0.04087546095252037,1.0,0.0,1.3100262880325317,0.03325521945953369,0.0,-0.03325521945953369
6,0,0.5390319228172302,1.0,0.5022563934326172,1.0,0.0,1.6465176343917847,0.0,1.0,0.9832044243812561
7,0,0.6475514769554138,1.0,0.8597782254219055,1.0,0.0,2.326298236846924,0.0,0.0,0.49656790494918823
8,0,0.6265725493431091,0.0,0.2418903261423111,1.0,0.0,3.6995925903320312,0.0,0.0,0.25079187750816345
9,0,0.5587947368621826,1.0,0.6855389475822449,1.0,0.0,6.47392463684082,0.0,1.0,1.1266626119613647
10,0,0.6455314755439758,0.0,0.0469320813392714,1.0,0.0,12.078635284466259,0.0,0.0,0.5690214944402328
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,0.5806788206100464,1.0,0.4193211793899536,0.0,1.0,1.0,0.0,0.0,0.0
13,1,0.5649482607841492,1.0,0.8586084842681885,1.0,0.0,1.0202020406723022,0.0,0.0,0.0
14,1,0.6498531103134155,0.0,0.21742819249629974,1.0,0.0,1.061014175415039,0.0,0.9156416654586792,0.9156416654586792
15,1,0.5565802454948425,1.0,0.6630442142486572,1.0,0.0,1.1434630155563354,0.0,0.0,0.46244528889656067
16,1,0.6318585276603699,0.0,0.037883076816797256,1.0,0.0,1.3100262880325317,0.0,0.0,0.23355822265148163
17,1,0.5897666215896606,1.0,0.4484991133213043,1.0,0.0,1.6465176343917847,0.0,0.0,0.11795870214700699
18,1,0.608249843120575,1.0,0.8447795510292053,1.0,0.0,2.326298236846924,0.0,0.0,0.059575099498033524
19,1,0.6250796914100647,0.0,0.2282329946756363,1.0,0.0,3.6995925903320312,0.0,0.0,0.030088433995842934
20,1,0.5914154648780823,1.0,0.6391229033470154,1.0,0.0,6.47392463684082,0.0,1.0,1.0151962041854858
21,1,0.6008340716362,0.0,0.044744632475497426,1.0,0.0,12.078635284466259,0.0,0.0,0.5127253430084436
22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2,0.5487421751022339,1.0,0.4512578248977661,0.0,1.0,1.0,0.0,0.0,0.0
24,2,0.6052532196044922,1.0,0.8505627512931824,1.0,0.0,1.0202020406723022,0.0,0.0,0.0
25,2,0.6389688849449158,0.0,0.22018542885780334,1.0,0.0,1.061014175415039,1.0,0.0,-1.0
26,2,0.5554406046867371,1.0,0.6669689416885376,1.0,0.0,1.1434630155563354,0.057645559310913086,0.45733457803726196,-0.10536148399114609
27,2,0.6342832446098328,0.0,0.03942272812128067,1.0,0.0,1.3100262880325317,0.0,1.0,0.9467871189117432
28,2,0.5884949564933777,1.0,0.4513259828090668,1.0,0.0,1.6465176343917847,0.0,0.0,0.4781753122806549
29,2,0.5955542922019958,1.0,0.8603305220603943,1.0,0.0,2.326298236846924,0.0,1.0,1.2415026426315308
30,2,0.6514042615890503,0.0,0.2176164835691452,1.0,0.0,3.6995925903320312,0.0,0.0,0.6270215511322021
31,2,0.5932222604751587,1.0,0.6265923976898193,1.0,0.0,6.47392463684082,0.0,0.3022354245185852,0.6189129948616028
32,2,0.6324887871742249,0.0,0.00043279825946862527,1.0,0.0,12.078635284466259,0.0,0.0,0.3125823127398493
33,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,3,0.5560939311981201,1.0,0.4439060688018799,0.0,1.0,1.0,0.0,0.0,0.0
35,3,0.5821888446807861,1.0,0.8662011027336121,1.0,0.0,1.0202020406723022,0.0,1.0,1.0
36,3,0.6140204668045044,0.0,0.2609301507472992,1.0,0.0,1.061014175415039,0.0,0.17546415328979492,0.6805146336555481
37,3,0.5977039337158203,1.0,0.6658619046211243,1.0,0.0,1.1434630155563354,0.0,0.0,0.343694269657135
38,3,0.6395100951194763,0.0,0.033077672123909,1.0,0.0,1.3100262880325317,0.0,0.47457581758499146,0.6481587886810303
39,3,0.5964821577072144,1.0,0.4369296431541443,1.0,0.0,1.6465176343917847,0.0,0.8796442151069641,1.2069971561431885
40,3,0.5691102743148804,1.0,0.8722327947616577,1.0,0.0,2.326298236846924,0.0,0.0,0.6095945239067078
41,3,0.648872435092926,0.0,0.23217079043388367,1.0,0.0,3.6995925903320312,0.0,0.0,0.30787602066993713
42,3,0.5941153168678284,1.0,0.6404006481170654,1.0,0.0,6.47392463684082,0.0,0.7347039580345154,0.8901969194412231
43,3,0.6070112586021423,0.0,0.039858061065450645,1.0,0.0,12.078635284466259,0.0,0.0,0.4495943918012934
44,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4,0.5599283576011658,1.0,0.44007164239883423,0.0,1.0,1.0,0.0,0.38805538415908813,0.38805538415908813
46,4,0.5856950879096985,1.0,0.8588217496871948,1.0,0.0,1.0202020406723022,0.0,0.0,0.19598756730556488
47,4,0.6351865530014038,0.0,0.23231013119220734,1.0,0.0,1.061014175415039,0.0,0.0,0.09898362308740616
48,4,0.5911663770675659,1.0,0.6434903144836426,1.0,0.0,1.1434630155563354,0.0,0.10413281619548798,0.15412454307079315
49,4,0.6071954369544983,0.0,0.042794790118932724,1.0,0.0,1.3100262880325317,0.0,0.0,0.07784067839384079
50,4,0.5518798828125,1.0,0.49134719371795654,1.0,0.0,1.6465176343917847,0.0,0.0,0.03931347280740738
51,4,0.6182026863098145,1.0,0.8781076073646545,1.0,0.0,2.326298236846924,0.0,0.0,0.01985529065132141
52,4,0.647502064704895,0.0,0.2394753098487854,1.0,0.0,3.6995925903320312,0.0,0.0,0.010027924552559853
53,4,0.5848117470741272,1.0,0.6570824980735779,1.0,0.0,6.47392463684082,0.0,0.0,0.005064608063548803
